Date Time,p (mbar),T (degC),rh (%)
02.01.2009 08:20:00,998.1,-4.31,94.7
02.01.2009 08:30:00,998.15,-4.3,94.4
02.01.2009 08:40:00,998.29,-4.24,94.4
02.01.2009 08:50:00,998.34,-4.17,94.1
02.01.2009 09:00:00,998.35,-4.13,93.8
02.01.2009 09:10:00,998.39,-4.07,93.7
02.01.2009 09:20:00,998.46,-3.95,93.3
02.01.2009 09:30:00,998.53,-3.9,93.1
02.01.2009 09:40:00,998.59,-3.9,92.7
02.01.2009 09:50:00,998.58,-3.92,92.6
02.01.2009 10:00:00,998.65,-3.93,92.3
02.01.2009 10:10:00,998.78,-3.97,92.5
02.01.2009 10:20:00,998.83,-3.93,92.7
02.01.2009 10:30:00,998.84,-3.9,92.6
02.01.2009 10:40:00,998.87,-3.87,92.6
02.01.2009 10:50:00,998.92,-3.74,92.5
02.01.2009 11:00:00,998.98,-3.62,92.3
02.01.2009 11:10:00,998.88,-3.49,91.9
02.01.2009 11:20:00,998.79,-3.36,91.7
02.01.2009 11:30:00,998.88,-3.21,91.2
02.01.2009 11:40:00,998.88,-3.17,90.8
02.01.2009 11:50:00,998.94,-3.02,90.6
02.01.2009 12:00:00,998.91,-3.12,90.1
02.01.2009 12:10:00,998.85,-3.07,90.5
02.01.2009 12:20:00,998.82,-2.9,89.8
02.01.2009 12:30:00,998.78,-2.81,89.0
02.01.2009 12:40:00,998.64,-2.8,88.7
02.01.2009 12:50:00,998.61,-2.64,88.5
02.01.2009 13:00:00,998.59,-2.53,88.0
02.01.2009 13:10:00,998.58,-2.54,87.6
02.01.2009 13:20:00,998.62,-2.49,87.8
02.01.2009 13:30:00,998.6,-2.26,87.2
02.01.2009 13:40:00,998.67,-2.21,86.6
02.01.2009 13:50:00,998.7,-2.41,86.6
02.01.2009 14:00:00,998.73,-2.56,87.8
02.01.2009 14:10:00,998.73,-2.62,88.6
02.01.2009 14:20:00,998.75,-2.54,89.0
02.01.2009 14:30:00,998.7,-2.14,87.8
02.01.2009 14:40:00,998.75,-2.22,87.0
02.01.2009 14:50:00,998.71,-2.18,87.5
02.01.2009 15:00:00,998.87,-2.12,86.9
02.01.2009 15:10:00,999.05,-2.31,87.3
02.01.2009 15:20:00,999.14,-2.42,88.5
02.01.2009 15:30:00,999.25,-2.47,89.1
02.01.2009 15:40:00,999.32,-2.55,89.4
02.01.2009 15:50:00,999.46,-2.65,89.5
02.01.2009 16:00:00,999.59,-2.76,89.6
02.01.2009 16:10:00,999.62,-2.81,89.7
02.01.2009 16:20:00,999.8,-2.83,89.4
02.01.2009 16:30:00,999.92,-2.84,88.4
02.01.2009 16:40:00,1000.13,-2.83,88.3
02.01.2009 16:50:00,1000.16,-2.84,88.6
02.01.2009 17:00:00,1000.21,-2.88,89.0
02.01.2009 17:10:00,1000.23,-2.96,89.5
02.01.2009 17:20:00,1000.35,-2.96,90.0
02.01.2009 17:30:00,1000.43,-2.97,90.3
02.01.2009 17:40:00,1000.54,-3.03,91.0
02.01.2009 17:50:00,1000.66,-3.05,91.8
02.01.2009 18:00:00,1000.74,-3.07,92.3
02.01.2009 18:10:00,1000.78,-3.16,92.3
02.01.2009 18:20:00,1000.92,-3.2,91.9
02.01.2009 18:30:00,1000.98,-3.23,91.5
02.01.2009 18:40:00,1001.13,-3.29,90.9
02.01.2009 18:50:00,1001.19,-3.3,90.5
02.01.2009 19:00:00,1001.27,-3.34,90.7
02.01.2009 19:10:00,1001.34,-3.36,91.4
02.01.2009 19:20:00,1001.4,-3.36,92.0
02.01.2009 19:30:00,1001.46,-3.36,92.2
02.01.2009 19:40:00,1001.57,-3.36,92.5
02.01.2009 19:50:00,1001.71,-3.31,92.8
02.01.2009 20:00:00,1001.83,-3.3,92.8
02.01.2009 20:10:00,1001.9,-3.28,92.6
02.01.2009 20:20:00,1002.01,-3.36,92.4
02.01.2009 20:30:00,1002.03,-3.36,92.4
02.01.2009 20:40:00,1002.13,-3.36,92.2
02.01.2009 20:50:00,1002.15,-3.43,92.2
02.01.2009 21:00:00,1002.23,-3.49,91.9
02.01.2009 21:10:00,1002.32,-3.5,91.7
02.01.2009 21:20:00,1002.36,-3.52,91.3
02.01.2009 21:30:00,1002.37,-3.66,90.4
02.01.2009 21:40:00,1002.35,-3.8,89.8
02.01.2009 21:50:00,1002.39,-3.94,89.3
02.01.2009 22:00:00,1002.39,-4.02,88.8
02.01.2009 22:10:00,1002.39,-4.06,88.4
02.01.2009 22:20:00,1002.44,-4.2,88.7
02.01.2009 22:30:00,1002.54,-4.34,88.9
02.01.2009 22:40:00,1002.52,-4.3,89.2
02.01.2009 22:50:00,1002.57,-4.35,89.6
02.01.2009 23:00:00,1002.52,-4.38,89.7
02.01.2009 23:10:00,1002.64,-4.45,89.6
02.01.2009 23:20:00,1002.65,-4.53,89.7
02.01.2009 23:30:00,1002.64,-4.57,89.9
02.01.2009 23:40:00,1002.53,-4.56,89.8
02.01.2009 23:50:00,1002.35,-4.59,89.6
03.01.2009 00:00:00,1002.32,-4.71,90.0
03.01.2009 00:10:00,1002.39,-4.89,90.7
03.01.2009 00:20:00,1002.39,-5.2,90.6
03.01.2009 00:30:00,1002.49,-5.48,91.1
03.01.2009 00:40:00,1002.42,-5.5,91.8
03.01.2009 00:50:00,1002.39,-5.43,92.2
03.01.2009 01:00:00,1002.39,-5.28,92.1
03.01.2009 01:10:00,1002.39,-5.39,91.0
03.01.2009 01:20:00,1002.31,-5.66,90.7
03.01.2009 01:30:00,1002.34,-5.7,91.2
03.01.2009 01:40:00,1002.36,-5.89,91.5
03.01.2009 01:50:00,1002.27,-6.08,91.9
03.01.2009 02:00:00,1002.27,-6.23,92.3
03.01.2009 02:10:00,1002.28,-6.38,92.3
03.01.2009 02:20:00,1002.29,-6.55,92.7
03.01.2009 02:30:00,1002.37,-6.41,93.3
03.01.2009 02:40:00,1002.27,-6.12,93.4
03.01.2009 02:50:00,1002.2,-6.01,92.7
03.01.2009 03:00:00,1002.15,-6.13,91.9
03.01.2009 03:10:00,1002.14,-6.36,92.0
03.01.2009 03:20:00,1002.14,-6.48,92.3
03.01.2009 03:30:00,1002.06,-6.46,92.7
03.01.2009 03:40:00,1002.03,-6.33,92.6
03.01.2009 03:50:00,1002.01,-6.39,92.3
03.01.2009 04:00:00,1002.02,-6.21,91.8
03.01.2009 04:10:00,1001.99,-6.17,90.9
03.01.2009 04:20:00,1001.97,-6.25,91.0
03.01.2009 04:30:00,1001.93,-6.3,91.3
03.01.2009 04:40:00,1001.9,-6.49,91.4
03.01.2009 04:50:00,1001.79,-6.64,91.5
03.01.2009 05:00:00,1001.65,-7.02,91.9
03.01.2009 05:10:00,1001.52,-7.19,92.4
03.01.2009 05:20:00,1001.4,-7.35,92.4
03.01.2009 05:30:00,1001.29,-7.54,92.8
03.01.2009 05:40:00,1001.29,-7.8,93.1
03.01.2009 05:50:00,1001.31,-7.96,93.6
03.01.2009 06:00:00,1001.29,-8.2,93.5
03.01.2009 06:10:00,1001.2,-8.14,93.9
03.01.2009 06:20:00,1001.15,-7.92,92.5
03.01.2009 06:30:00,1001.13,-7.89,90.7
03.01.2009 06:40:00,1001.12,-7.97,89.9
03.01.2009 06:50:00,1001.07,-8.1,89.7
03.01.2009 07:00:00,1001.17,-8.48,89.3
03.01.2009 07:10:00,1001.22,-8.63,90.6
03.01.2009 07:20:00,1001.16,-8.61,91.5
03.01.2009 07:30:00,1001.16,-8.61,91.5
03.01.2009 07:40:00,1001.11,-8.85,91.0
03.01.2009 07:50:00,1001.03,-9.18,90.7
03.01.2009 08:00:00,1001.04,-9.28,91.2
03.01.2009 08:10:00,1000.99,-9.45,91.1
03.01.2009 08:20:00,1000.95,-9.81,91.0
03.01.2009 08:30:00,1000.91,-9.85,91.6
03.01.2009 08:40:00,1000.92,-9.71,91.9
03.01.2009 08:50:00,1000.92,-9.4,92.0
03.01.2009 09:00:00,1000.92,-9.46,90.7
03.01.2009 09:10:00,1000.92,-10.0,89.7
03.01.2009 09:20:00,1000.93,-9.93,90.5
03.01.2009 09:30:00,1000.85,-9.3,90.5
03.01.2009 09:40:00,1000.8,-8.83,87.8
03.01.2009 09:50:00,1000.71,-8.48,84.8
03.01.2009 10:00:00,1000.67,-8.53,83.3
03.01.2009 10:10:00,1000.64,-8.56,84.5
03.01.2009 10:20:00,1000.51,-8.47,85.3
03.01.2009 10:30:00,1000.37,-8.51,85.2
03.01.2009 10:40:00,1000.28,-8.41,86.4
03.01.2009 10:50:00,1000.15,-8.16,86.4
03.01.2009 11:00:00,1000.04,-7.87,85.6
03.01.2009 11:10:00,999.88,-7.52,84.7
03.01.2009 11:20:00,999.7,-7.29,83.7
03.01.2009 11:30:00,999.56,-6.89,83.2
03.01.2009 11:40:00,999.41,-6.56,82.0
03.01.2009 11:50:00,999.26,-6.32,81.7
03.01.2009 12:00:00,999.02,-5.96,80.7
03.01.2009 12:10:00,998.83,-5.78,80.5
03.01.2009 12:20:00,998.78,-5.15,79.4
03.01.2009 12:30:00,998.69,-4.34,76.6
03.01.2009 12:40:00,998.6,-3.77,74.4
03.01.2009 12:50:00,998.47,-3.27,72.0
03.01.2009 13:00:00,998.3,-2.82,70.5
03.01.2009 13:10:00,998.17,-2.23,67.98
03.01.2009 13:20:00,998.0,-2.37,67.26
03.01.2009 13:30:00,997.84,-2.11,66.55
03.01.2009 13:40:00,997.74,-1.66,64.48
03.01.2009 13:50:00,997.65,-1.43,63.9
03.01.2009 14:00:00,997.53,-2.15,65.61
03.01.2009 14:10:00,997.31,-2.74,67.06
03.01.2009 14:20:00,997.23,-2.29,65.31
03.01.2009 14:30:00,997.13,-1.66,55.33
03.01.2009 14:40:00,997.09,-1.52,55.18
03.01.2009 14:50:00,997.02,-0.9,52.35
03.01.2009 15:00:00,996.91,-0.82,50.25
03.01.2009 15:10:00,996.85,-1.37,49.89
03.01.2009 15:20:00,996.73,-1.91,50.7
03.01.2009 15:30:00,996.58,-2.28,52.52
03.01.2009 15:40:00,996.39,-2.24,51.42
03.01.2009 15:50:00,996.35,-2.32,49.06
03.01.2009 16:00:00,996.25,-2.8,48.39
03.01.2009 16:10:00,996.12,-3.64,50.57
03.01.2009 16:20:00,996.04,-3.98,50.8
03.01.2009 16:30:00,995.92,-4.18,51.12
03.01.2009 16:40:00,995.87,-4.35,51.59
03.01.2009 16:50:00,995.85,-4.52,52.47
03.01.2009 17:00:00,995.76,-4.69,53.86
03.01.2009 17:10:00,995.7,-4.63,54.42
03.01.2009 17:20:00,995.62,-4.6,55.1
03.01.2009 17:30:00,995.6,-4.31,55.11
03.01.2009 17:40:00,995.59,-4.18,55.57
03.01.2009 17:50:00,995.51,-4.16,56.06
03.01.2009 18:00:00,995.48,-4.08,56.32
03.01.2009 18:10:00,995.47,-3.98,56.28
03.01.2009 18:20:00,995.42,-3.91,56.56
03.01.2009 18:30:00,995.41,-3.9,57.28
03.01.2009 18:40:00,995.34,-3.9,58.04
03.01.2009 18:50:00,995.37,-3.87,58.83
03.01.2009 19:00:00,995.44,-3.78,59.35
03.01.2009 19:10:00,995.28,-3.77,59.45
03.01.2009 19:20:00,995.26,-3.95,60.72
03.01.2009 19:30:00,995.19,-3.9,62.26
03.01.2009 19:40:00,995.15,-3.75,63.02
03.01.2009 19:50:00,995.07,-3.81,63.99
03.01.2009 20:00:00,994.94,-3.84,64.22
03.01.2009 20:10:00,994.76,-3.88,64.9
03.01.2009 20:20:00,994.65,-3.67,66.32
03.01.2009 20:30:00,994.64,-3.3,65.81
03.01.2009 20:40:00,994.57,-3.34,66.42
03.01.2009 20:50:00,994.45,-3.24,66.37
03.01.2009 21:00:00,994.3,-3.15,66.47
03.01.2009 21:10:00,994.23,-3.07,66.65
03.01.2009 21:20:00,994.2,-2.93,66.56
03.01.2009 21:30:00,994.04,-2.78,66.4
03.01.2009 21:40:00,994.08,-2.76,66.63
03.01.2009 21:50:00,994.06,-2.76,67.09
03.01.2009 22:00:00,994.06,-2.76,67.66
03.01.2009 22:10:00,994.01,-2.71,68.08
03.01.2009 22:20:00,993.77,-2.67,68.59
03.01.2009 22:30:00,993.61,-2.69,69.12
03.01.2009 22:40:00,993.54,-2.7,69.86
03.01.2009 22:50:00,993.43,-2.64,70.9
03.01.2009 23:00:00,993.28,-2.58,71.2
03.01.2009 23:10:00,993.14,-2.46,71.2
03.01.2009 23:20:00,993.13,-2.33,71.3
03.01.2009 23:30:00,993.14,-2.12,71.3
03.01.2009 23:40:00,993.13,-1.97,71.0
03.01.2009 23:50:00,993.05,-1.9,70.8
04.01.2009 00:00:00,992.93,-1.9,71.2
04.01.2009 00:10:00,992.79,-1.83,71.4
04.01.2009 00:20:00,992.67,-1.7,71.8
04.01.2009 00:30:00,992.57,-1.6,72.2
04.01.2009 00:40:00,992.54,-1.55,73.1
04.01.2009 00:50:00,992.41,-1.46,73.2
04.01.2009 01:00:00,992.19,-1.42,73.0
04.01.2009 01:10:00,992.09,-1.49,75.4
04.01.2009 01:20:00,991.98,-2.01,83.5
04.01.2009 01:30:00,991.97,-2.32,87.6
04.01.2009 01:40:00,991.85,-2.37,89.3
04.01.2009 01:50:00,991.84,-2.32,90.0
04.01.2009 02:00:00,991.76,-2.22,90.1
04.01.2009 02:10:00,991.73,-2.09,89.8
04.01.2009 02:20:00,991.65,-2.04,89.6
04.01.2009 02:30:00,991.58,-2.25,89.5
04.01.2009 02:40:00,991.49,-2.54,90.5
04.01.2009 02:50:00,991.36,-2.26,91.1
04.01.2009 03:00:00,991.26,-2.2,90.6
04.01.2009 03:10:00,991.24,-2.16,90.6
04.01.2009 03:20:00,991.15,-2.05,90.7
04.01.2009 03:30:00,991.09,-1.9,90.0
04.01.2009 03:40:00,991.0,-1.79,89.6
04.01.2009 03:50:00,990.89,-1.79,89.3
04.01.2009 04:00:00,990.83,-1.88,90.0
04.01.2009 04:10:00,990.74,-1.87,90.3
04.01.2009 04:20:00,990.69,-1.78,90.7
04.01.2009 04:30:00,990.63,-1.66,90.6
04.01.2009 04:40:00,990.5,-1.64,90.6
04.01.2009 04:50:00,990.45,-1.64,90.9
04.01.2009 05:00:00,990.37,-1.64,91.2
04.01.2009 05:10:00,990.33,-1.5,91.0
04.01.2009 05:20:00,990.25,-1.44,90.9
04.01.2009 05:30:00,990.22,-1.47,91.0
04.01.2009 05:40:00,990.2,-1.49,91.4
04.01.2009 05:50:00,990.09,-1.44,91.5
04.01.2009 06:00:00,989.99,-1.44,91.3
04.01.2009 06:10:00,989.96,-1.44,91.2
04.01.2009 06:20:00,989.95,-1.39,91.0
04.01.2009 06:30:00,989.92,-1.33,90.8
04.01.2009 06:40:00,989.94,-1.25,90.1
04.01.2009 06:50:00,989.88,-1.14,89.4
04.01.2009 07:00:00,989.9,-1.09,89.1
04.01.2009 07:10:00,989.93,-1.0,88.7
04.01.2009 07:20:00,989.96,-0.92,88.4
04.01.2009 07:30:00,990.0,-0.9,88.5
04.01.2009 07:40:00,990.03,-0.86,88.5
04.01.2009 07:50:00,989.97,-0.9,88.8
04.01.2009 08:00:00,989.92,-0.89,89.1
04.01.2009 08:10:00,989.96,-0.81,88.6
04.01.2009 08:20:00,989.95,-0.76,88.0
04.01.2009 08:30:00,989.97,-0.7,87.5
04.01.2009 08:40:00,989.97,-0.7,87.1
04.01.2009 08:50:00,989.9,-0.76,86.7
04.01.2009 09:00:00,989.95,-0.72,86.2
04.01.2009 09:10:00,989.95,-0.9,86.6
04.01.2009 09:20:00,989.89,-1.21,88.9
04.01.2009 09:30:00,989.87,-1.31,89.9
04.01.2009 09:40:00,989.87,-1.37,90.0
04.01.2009 09:50:00,989.86,-1.37,90.0
04.01.2009 10:00:00,989.86,-1.37,90.5
04.01.2009 10:10:00,989.87,-1.3,90.5
04.01.2009 10:20:00,989.86,-1.2,90.1
04.01.2009 10:30:00,989.83,-1.14,90.2
04.01.2009 10:40:00,989.76,-1.1,90.3
04.01.2009 10:50:00,989.76,-1.1,90.1
04.01.2009 11:00:00,989.64,-1.1,90.0
04.01.2009 11:10:00,989.49,-1.12,90.1
04.01.2009 11:20:00,989.38,-1.11,90.4
04.01.2009 11:30:00,989.29,-1.1,90.6
04.01.2009 11:40:00,989.14,-1.16,91.1
04.01.2009 11:50:00,989.03,-1.17,91.6
04.01.2009 12:00:00,988.94,-1.21,91.8
04.01.2009 12:10:00,988.78,-1.12,91.7
04.01.2009 12:20:00,988.62,-0.99,91.0
04.01.2009 12:30:00,988.49,-0.94,89.8
04.01.2009 12:40:00,988.34,-0.86,89.0
04.01.2009 12:50:00,988.2,-0.92,88.8
04.01.2009 13:00:00,988.07,-1.02,89.4
04.01.2009 13:10:00,987.96,-0.99,89.7
04.01.2009 13:20:00,987.88,-1.0,89.5
04.01.2009 13:30:00,987.88,-1.04,89.7
04.01.2009 13:40:00,987.81,-0.99,89.9
04.01.2009 13:50:00,987.69,-0.83,89.6
04.01.2009 14:00:00,987.57,-0.77,89.1
04.01.2009 14:10:00,987.51,-0.79,88.5
04.01.2009 14:20:00,987.38,-0.87,88.2
04.01.2009 14:30:00,987.23,-0.9,87.7
04.01.2009 14:40:00,987.15,-0.9,87.4
04.01.2009 14:50:00,987.13,-0.79,87.3
04.01.2009 15:00:00,987.03,-0.7,87.4
04.01.2009 15:10:00,987.0,-0.63,87.2
04.01.2009 15:20:00,986.95,-0.75,87.1
04.01.2009 15:30:00,986.9,-0.84,87.6
04.01.2009 15:40:00,986.79,-0.96,87.9
04.01.2009 15:50:00,986.78,-1.02,88.2
04.01.2009 16:00:00,986.69,-1.05,88.5
04.01.2009 16:10:00,986.65,-1.13,88.4
04.01.2009 16:20:00,986.63,-1.22,88.8
