T (degC),p (mbar),rh (%),model_prediction,anomaly_status,anomaly_score
-4.32,998.15,95.9,1,Normal,0.49144693084837376
-4.25,998.21,95.8,1,Normal,0.4911694171593187
-4.16,998.22,95.6,1,Normal,0.4895307966762349
-4.26,998.19,95.4,1,Normal,0.4889793436435904
-4.28,998.17,95.5,1,Normal,0.4893102923209007
-4.34,998.19,95.3,1,Normal,0.48749399387464715
-4.37,998.2,95.2,1,Normal,0.48699192902251287
-4.33,998.22,95.2,1,Normal,0.484927734976539
-4.43,998.17,95.1,1,Normal,0.48244367330677085
-4.39,998.18,95.1,1,Normal,0.4834316523730002
-4.33,998.18,94.8,1,Normal,0.4801282241004219
-4.37,998.11,94.7,1,Normal,0.48426214686432556
-4.31,998.1,94.7,1,Normal,0.48220952344148094
-4.3,998.15,94.4,1,Normal,0.47968208587249545
-4.24,998.29,94.4,1,Normal,0.47876292822408884
-4.17,998.34,94.1,1,Normal,0.47708272981525873
-4.13,998.35,93.8,1,Normal,0.4755513020733687
-4.07,998.39,93.7,1,Normal,0.47442684120795464
-3.95,998.46,93.3,1,Normal,0.4723384221370885
-3.9,998.53,93.1,1,Normal,0.47238583198211404
-3.9,998.59,92.7,1,Normal,0.47120095490590136
-3.92,998.58,92.6,1,Normal,0.4713219965264075
-3.93,998.65,92.3,1,Normal,0.4696800242581485
-3.97,998.78,92.5,1,Normal,0.4706245323404199
-3.93,998.83,92.7,1,Normal,0.47120095490590136
-3.9,998.84,92.6,1,Normal,0.4713219965264075
-3.87,998.87,92.6,1,Normal,0.4713219965264075
-3.74,998.92,92.5,1,Normal,0.47143258605797633
-3.62,998.98,92.3,1,Normal,0.4704864562725962
-3.49,998.88,91.9,1,Normal,0.46979586180040733
-3.36,998.79,91.7,1,Normal,0.4697299452190498
-3.21,998.88,91.2,1,Normal,0.4682535213211
-3.17,998.88,90.8,1,Normal,0.4666840656256525
-3.02,998.94,90.6,1,Normal,0.46433740246146893
-3.12,998.91,90.1,1,Normal,0.4601300500598006
-3.07,998.85,90.5,1,Normal,0.46433740246146893
-2.9,998.82,89.8,1,Normal,0.455644547990019
-2.81,998.78,89.0,1,Normal,0.4551194290988708
-2.8,998.64,88.7,1,Normal,0.4545236800098457
-2.64,998.61,88.5,1,Normal,0.4542727256140929
-2.53,998.59,88.0,1,Normal,0.45379238209414013
-2.54,998.58,87.6,1,Normal,0.4564640926861848
-2.49,998.62,87.8,1,Normal,0.4525586775640622
-2.26,998.6,87.2,1,Normal,0.45167487061134204
-2.21,998.67,86.6,1,Normal,0.4508281816610881
-2.41,998.7,86.6,1,Normal,0.45310969899927495
-2.56,998.73,87.8,1,Normal,0.45379238209414013
-2.62,998.73,88.6,1,Normal,0.4542727256140929
-2.54,998.75,89.0,1,Normal,0.45456049230069334
-2.14,998.7,87.8,1,Normal,0.4490311916115957
-2.22,998.75,87.0,1,Normal,0.45210042063596484
-2.18,998.71,87.5,1,Normal,0.45167487061134204
-2.12,998.87,86.9,1,Normal,0.45118369644234535
-2.31,999.05,87.3,1,Normal,0.4531960430250956
-2.42,999.14,88.5,1,Normal,0.45365416553063265
-2.47,999.25,89.1,1,Normal,0.4548960584729528
-2.55,999.32,89.4,1,Normal,0.45873953342376994
-2.65,999.46,89.5,1,Normal,0.45768229140758027
-2.76,999.59,89.6,1,Normal,0.4591757927559146
-2.81,999.62,89.7,1,Normal,0.46004303946021213
-2.83,999.8,89.4,1,Normal,0.4634134018361339
-2.84,999.92,88.4,1,Normal,0.4645773190088779
-2.83,1000.13,88.3,1,Normal,0.46517236694578296
-2.84,1000.16,88.6,1,Normal,0.46741392390096725
-2.88,1000.21,89.0,1,Normal,0.4673936759321062
-2.96,1000.23,89.5,1,Normal,0.47072760197928865
-2.96,1000.35,90.0,1,Normal,0.4706147412169098
-2.97,1000.43,90.3,1,Normal,0.4712519952641959
-3.03,1000.54,91.0,1,Normal,0.47584880761011106
-3.05,1000.66,91.8,1,Normal,0.47729595758979354
-3.07,1000.74,92.3,1,Normal,0.4812211663935019
-3.16,1000.78,92.3,1,Normal,0.4808282148701917
-3.2,1000.92,91.9,1,Normal,0.48340913006551745
-3.23,1000.98,91.5,1,Normal,0.48361989399006894
-3.29,1001.13,90.9,1,Normal,0.48712587803208607
-3.3,1001.19,90.5,1,Normal,0.4864731358507587
-3.34,1001.27,90.7,1,Normal,0.48712587803208607
-3.36,1001.34,91.4,1,Normal,0.48809084998022884
-3.36,1001.4,92.0,1,Normal,0.488025540029563
-3.36,1001.46,92.2,1,Normal,0.49212353709937395
-3.36,1001.57,92.5,1,Normal,0.4928875442318472
-3.31,1001.71,92.8,1,Normal,0.4971662181324238
-3.3,1001.83,92.8,1,Normal,0.4987923117080265
-3.28,1001.9,92.6,1,Normal,0.500288490673264
-3.36,1002.01,92.4,1,Normal,0.4988026476867563
-3.36,1002.03,92.4,1,Normal,0.4998161250321957
-3.36,1002.13,92.2,1,Normal,0.50019452113246
-3.43,1002.15,92.2,1,Normal,0.5020817036938733
-3.49,1002.23,91.9,1,Normal,0.4988881040765983
-3.5,1002.32,91.7,1,Normal,0.49820550200513114
-3.52,1002.36,91.3,1,Normal,0.49767888259416565
-3.66,1002.37,90.4,1,Normal,0.49761148795492927
-3.8,1002.35,89.8,1,Normal,0.4905552766034199
-3.94,1002.39,89.3,1,Normal,0.49027552868276514
-4.02,1002.39,88.8,1,Normal,0.49152607477753524
-4.06,1002.39,88.4,1,Normal,0.4902610454581681
-4.2,1002.44,88.7,1,Normal,0.49379583411897593
-4.34,1002.54,88.9,1,Normal,0.49540049434335753
-4.3,1002.52,89.2,1,Normal,0.4941086373823667
-4.35,1002.57,89.6,1,Normal,0.49722987205062047
-4.38,1002.52,89.7,1,Normal,0.4989294355245495
-4.45,1002.64,89.6,1,Normal,0.4986632034800856
-4.53,1002.65,89.7,1,Normal,0.49987223853156654
-4.57,1002.64,89.9,1,Normal,0.49987223853156654
-4.56,1002.53,89.8,1,Normal,0.49987223853156654
-4.59,1002.35,89.6,1,Normal,0.5010153539246317
-4.71,1002.32,90.0,1,Normal,0.5016546876856267
-4.89,1002.39,90.7,1,Normal,0.5081640449928783
25.0,1002.39,90.6,1,Normal,0.5770079481840222
-5.48,1002.49,91.1,1,Normal,0.516753712509194
-5.5,1002.42,91.8,1,Normal,0.5176969906783176
-5.43,1002.39,92.2,1,Normal,0.521789700977
-5.28,1002.39,92.1,1,Normal,0.516894326102425
-5.39,1002.39,91.0,1,Normal,0.5164766685873625
-5.66,1002.31,90.7,1,Normal,0.5180595029512775
-5.7,1002.34,91.2,1,Normal,0.5194055320248341
-5.89,1002.36,91.5,1,Normal,0.5212704126623597
-6.08,1002.27,91.9,1,Normal,0.5217487791591735
-6.23,1002.27,92.3,1,Normal,0.5236695697480328
-6.38,1002.28,92.3,1,Normal,0.5229614336422632
-6.55,1002.29,92.7,1,Normal,0.527332764951537
8.59,1002.37,93.3,1,Normal,0.4720191445925327
-6.12,1002.27,93.4,1,Normal,0.5281534057060194
-6.01,1002.2,92.7,1,Normal,0.5260113306758427
-6.13,1002.15,91.9,1,Normal,0.5224636383809328
-6.36,1002.14,92.0,1,Normal,0.5223599485049696
-6.48,1002.14,92.3,1,Normal,0.5257553837959782
-6.46,1002.06,92.7,1,Normal,0.5265968366539563
-6.33,1002.03,92.6,1,Normal,0.5258331472436111
-6.39,1002.01,92.3,1,Normal,0.5239062752753425
-6.21,1002.02,91.8,1,Normal,0.5213310809637014
-6.17,1001.99,90.9,1,Normal,0.5191204183954969
-6.25,1001.97,91.0,1,Normal,0.5191204183954969
-6.3,1001.93,91.3,1,Normal,0.5201487699244355
-6.49,1001.9,91.4,1,Normal,0.5229927012563559
-6.64,1001.79,91.5,1,Normal,0.5233043135329485
-7.02,1001.65,91.9,1,Normal,0.5213042466088117
-7.19,1001.52,92.4,1,Normal,0.5249091522591502
-7.35,1001.4,92.4,1,Normal,0.526033477984429
-7.54,1001.29,92.8,1,Normal,0.5282925582187793
-7.8,1001.29,93.1,1,Normal,0.5344360750468994
-7.96,1001.31,93.6,1,Normal,0.5374193930540286
-8.2,1001.29,93.5,1,Normal,0.5414490596213691
-8.14,1001.2,93.9,1,Normal,0.5424730622856404
-7.92,1001.15,92.5,1,Normal,0.5369450611654855
-7.89,1001.13,90.7,1,Normal,0.5309998681023357
-7.97,1001.12,89.9,1,Normal,0.5279600463635791
-8.1,1001.07,89.7,1,Normal,0.5309364664036246
-8.48,1001.17,89.3,1,Normal,0.5337484754779717
-8.63,1001.22,90.6,1,Normal,0.5366104817639018
-8.61,1001.16,91.5,1,Normal,0.5407692287543924
6.390000000000001,1001.16,91.5,1,Normal,0.45563270996425886
-8.85,1001.11,91.0,1,Normal,0.5430469180447826
-9.18,1001.03,90.7,1,Normal,0.5444155719413618
-9.28,1001.04,91.2,1,Normal,0.5486696501111469
-9.45,1000.99,91.1,1,Normal,0.5479258324350946
-9.81,1000.95,91.0,1,Normal,0.5472616813480734
-9.85,1000.91,91.6,1,Normal,0.5496693063919302
-9.71,1000.92,91.9,1,Normal,0.5500413309616247
-9.4,1000.92,92.0,1,Normal,0.5475315584156654
-9.46,1000.92,90.7,1,Normal,0.5468915368151929
-10.0,1000.92,89.7,1,Normal,0.5474890117302863
-9.93,1000.93,90.5,1,Normal,0.5497487138151005
-9.3,1000.85,90.5,1,Normal,0.5428420407220357
-8.83,1000.8,87.8,1,Normal,0.5349123648155066
-8.48,1000.71,84.8,1,Normal,0.531130684785227
-8.53,1000.67,83.3,1,Normal,0.5332629200104602
-8.56,1000.64,84.5,1,Normal,0.5300117931553608
-8.47,1000.51,85.3,1,Normal,0.529653315713426
-8.51,1000.37,85.2,1,Normal,0.5284623983896665
-8.41,1000.28,86.4,1,Normal,0.5279233100196408
-8.16,1000.15,86.4,1,Normal,0.5247993702436617
-7.87,1000.04,85.6,1,Normal,0.5212067095097569
-7.52,999.88,84.7,1,Normal,0.5123655623932851
-7.29,999.7,83.7,1,Normal,0.5031700949542847
-6.89,999.56,83.2,1,Normal,0.5060027236463337
-6.56,999.41,82.0,1,Normal,0.5043209114787202
-6.32,999.26,81.7,1,Normal,0.49957668404564126
-5.96,999.02,80.7,1,Normal,0.5027082190097494
-5.78,998.83,80.5,1,Normal,0.49629218349031967
-5.15,998.78,79.4,1,Normal,0.4977836231836551
-4.34,998.69,76.6,1,Normal,0.49174186488507116
-3.77,998.6,74.4,1,Normal,0.49676684246392305
-3.27,998.47,72.0,1,Normal,0.49904222046033436
-2.82,998.3,70.5,1,Normal,0.5004840792891049
-2.23,998.17,67.98,1,Normal,0.5058585359917577
-2.37,998.0,67.26,1,Normal,0.5089482461603494
-2.11,997.84,66.55,1,Normal,0.5065568566654425
3.229364739471806,997.74,64.48,1,Normal,0.47691171476663363
-1.43,997.65,63.9,1,Normal,0.5133995260126605
-2.15,997.53,65.61,1,Normal,0.5100998134155922
-2.74,997.31,67.06,1,Normal,0.5132595342150588
-2.29,997.23,65.31,1,Normal,0.5136021779941496
-1.66,997.13,55.33,1,Normal,0.5596399915814694
-1.52,997.09,55.18,1,Normal,0.5596399915814694
-0.9,997.02,52.35,1,Normal,0.5576031598944696
-0.82,996.91,50.25,1,Normal,0.5625909961381806
-1.37,996.85,49.89,1,Normal,0.5690134805439513
-1.91,996.73,50.7,1,Normal,0.5682534154235789
-2.28,996.58,52.52,1,Normal,0.5627689440701978
-2.24,996.39,51.42,1,Normal,0.5642111816533875
-2.32,996.35,49.06,1,Normal,0.5733925735791341
-2.8,996.25,48.39,1,Normal,0.5747516053221974
-3.64,996.12,50.57,1,Normal,0.5706110986681471
-3.98,996.04,50.8,1,Normal,0.5698513482815518
-4.18,995.92,51.12,1,Normal,0.5689734090603615
-4.35,995.87,51.59,1,Normal,0.5673560360389435
-4.52,995.85,52.47,1,Normal,0.5689998688239386
-4.69,995.76,53.86,1,Normal,0.5639606667597016
-4.63,995.7,54.42,1,Normal,0.5594689763291462
-4.6,995.62,55.1,1,Normal,0.5573991849289172
-4.31,995.6,55.11,1,Normal,0.5561908968589448
-4.18,995.59,55.57,1,Normal,0.5569440286014198
-4.16,995.51,56.06,1,Normal,0.5579413337239203
-4.08,995.48,56.32,1,Normal,0.5583189569278715
-3.98,995.47,56.28,1,Normal,0.5556809520320131
-3.91,995.42,56.56,1,Normal,0.5523618467474647
-3.9,995.41,57.28,1,Normal,0.5508689858911879
-3.9,995.34,58.04,1,Normal,0.5424608057822807
-3.87,995.37,58.83,1,Normal,0.5408659472087242
-3.78,995.44,59.35,1,Normal,0.5392698670651211
-3.77,995.28,59.45,1,Normal,0.5382304075263653
-3.95,995.26,60.72,1,Normal,0.5375589568904579
-3.9,995.19,62.26,1,Normal,0.5257277789004025
-3.75,995.15,63.02,1,Normal,0.5198194109424782
-3.81,995.07,63.99,1,Normal,0.5150668809351451
-3.84,994.94,64.22,1,Normal,0.5121651690271177
-3.88,994.76,64.9,1,Normal,0.5090195776693195
-3.67,994.65,66.32,1,Normal,0.5022498075856708
-3.3,994.64,65.81,1,Normal,0.503872409421467
-3.34,994.57,66.42,1,Normal,0.5001013373624155
-3.24,994.45,66.37,1,Normal,0.49942507157576616
-3.15,994.3,66.47,1,Normal,0.4969390594990138
-3.07,994.23,66.65,1,Normal,0.4973446152781699
-2.93,994.2,66.56,1,Normal,0.4973446152781699
3.936630977872948,994.04,66.4,1,Normal,0.43695183350614786
-2.76,994.08,66.63,1,Normal,0.4950155472896523
-2.76,994.06,67.09,1,Normal,0.49238242748107924
-2.76,994.06,67.66,1,Normal,0.49138402344697096
-2.71,994.01,68.08,1,Normal,0.4878628785027734
-2.67,993.77,68.59,1,Normal,0.488561367135896
-2.69,993.61,69.12,1,Normal,0.48952593469951344
-2.7,993.54,69.86,1,Normal,0.4866541991450574
-2.64,993.43,70.9,1,Normal,0.4825996704158439
-2.58,993.28,71.2,1,Normal,0.4832947514442196
-2.46,993.14,71.2,1,Normal,0.4810212837333529
-2.33,993.13,71.3,1,Normal,0.4798621585157659
-2.12,993.14,71.3,1,Normal,0.4801387437593889
-1.97,993.13,71.0,1,Normal,0.47944553331436157
-1.9,993.05,70.8,1,Normal,0.4787300199438267
-1.9,992.93,71.2,1,Normal,0.4783675074161301
-1.83,992.79,71.4,1,Normal,0.4780138087437724
-1.7,992.67,71.8,1,Normal,0.47474664465015687
-1.6,992.57,72.2,1,Normal,0.4713193643905588
-1.55,992.54,73.1,1,Normal,0.46829595402677654
-1.46,992.41,73.2,1,Normal,0.46230392585378943
-1.42,992.19,73.0,1,Normal,0.4648397490730445
-1.49,992.09,75.4,1,Normal,0.4598856188174976
-2.01,991.98,83.5,1,Normal,0.44239644383169796
-2.32,991.97,87.6,1,Normal,0.43745875265985834
-2.37,991.85,89.3,1,Normal,0.4386786924694141
-2.32,991.84,90.0,1,Normal,0.4405663891802869
-2.22,991.76,90.1,1,Normal,0.44152265669189816
-2.09,991.73,89.8,1,Normal,0.4401870286011385
-2.04,991.65,89.6,1,Normal,0.4364221794656046
-2.25,991.58,89.5,1,Normal,0.43790887155075836
-2.54,991.49,90.5,1,Normal,0.4459772346306974
-2.26,991.36,91.1,1,Normal,0.4455851335016237
-2.2,991.26,90.6,1,Normal,0.44626120868830865
-2.16,991.24,90.6,1,Normal,0.4468206373371781
-2.05,991.15,90.7,1,Normal,0.443911758574339
-1.9,991.09,90.0,1,Normal,0.43835145949398435
-1.79,991.0,89.6,1,Normal,0.43790703403159803
-1.79,990.89,89.3,1,Normal,0.4352289157421627
-1.88,990.83,90.0,1,Normal,0.4366914593104781
-1.87,990.74,90.3,1,Normal,0.43855696754895473
-1.78,990.69,90.7,1,Normal,0.4434296507908306
-1.66,990.63,90.6,1,Normal,0.44024449212530037
-1.64,990.5,90.6,1,Normal,0.4400399203452874
-1.64,990.45,90.9,1,Normal,0.44047648042244963
-1.64,990.37,91.2,1,Normal,0.441317738497781
-1.5,990.33,91.0,1,Normal,0.43891906377813683
-1.44,990.25,90.9,1,Normal,0.4392777655127429
-1.47,990.22,91.0,1,Normal,0.43891906377813683
-1.49,990.2,91.4,1,Normal,0.4412475648640367
-1.44,990.09,91.5,1,Normal,0.4428558348425576
-1.44,989.99,91.3,1,Normal,0.44255013371253665
-1.44,989.96,91.2,1,Normal,0.4390395712953804
-1.39,989.95,91.0,1,Normal,0.43865044320675584
-1.33,989.92,90.8,1,Normal,0.4357758866904262
-1.25,989.94,90.1,1,Normal,0.43081227200394484
-1.14,989.88,89.4,1,Normal,0.42894486848325125
-1.09,989.9,89.1,1,Normal,0.4276732536518998
-1.0,989.93,88.7,1,Normal,0.4277243839766201
-0.92,989.96,88.4,1,Normal,0.4270475961704928
-0.9,990.0,88.5,1,Normal,0.42990814381768644
-0.86,990.03,88.5,1,Normal,0.43014475057483487
-0.9,989.97,88.8,1,Normal,0.42928387145643987
-0.89,989.92,89.1,1,Normal,0.4280301222424271
-0.81,989.96,88.6,1,Normal,0.426840059034266
-0.76,989.95,88.0,1,Normal,0.4248355092444937
-0.7,989.97,87.5,1,Normal,0.42892088589357014
-15.7,989.97,87.1,1,Normal,0.5932597577803632
-0.76,989.9,86.7,1,Normal,0.424267426945654
-0.72,989.95,86.2,1,Normal,0.42407755244561274
-0.9,989.95,86.6,1,Normal,0.4260345861025123
-1.21,989.89,88.9,1,Normal,0.428072644056638
-1.31,989.87,89.9,1,Normal,0.429118333269291
-1.37,989.87,90.0,1,Normal,0.43194897383213626
-1.37,989.86,90.0,1,Normal,0.43194897383213626
-1.37,989.86,90.5,1,Normal,0.4377894453906233
